xe	re	ue	pe	Ee
0.846	0.761136975	3.603810038	1.065429906	9.99319176
0.848	0.761136975	3.603810038	1.065429906	9.99319176
0.85	0.761136975	3.603810038	1.065429906	9.99319176
0.852	0.761136975	3.603810038	1.065429906	9.99319176
0.854	0.761136975	3.603810038	1.065429906	9.99319176
0.856	0.761136975	3.603810038	1.065429906	9.99319176
0.858	0.761136975	3.603810038	1.065429906	9.99319176
0.86	0.761136975	3.603810038	1.065429906	9.99319176
0.862	0.761136975	3.603810038	1.065429906	9.99319176
0.864	0.761136975	3.603810038	1.065429906	9.99319176
0.866	0.761136975	3.603810038	1.065429906	9.99319176
0.868	0.761136975	3.603810038	1.065429906	9.99319176
0.87	0.761136975	3.603810038	1.065429906	9.99319176
0.872	0.761136975	3.603810038	1.065429906	9.99319176
0.874	0.761136975	3.603810038	1.065429906	9.99319176
0.876	0.761136975	3.603810038	1.065429906	9.99319176
0.878	0.761136975	3.603810038	1.065429906	9.99319176
0.88	0.761136975	3.603810038	1.065429906	9.99319176
0.882	0.761136975	3.603810038	1.065429906	9.99319176
0.884	0.761136975	3.603810038	1.065429906	9.99319176
0.886	0.761136975	3.603810038	1.065429906	9.99319176
0.888	0.761136975	3.603810038	1.065429906	9.99319176
0.89	0.761136975	3.603810038	1.065429906	9.99319176
0.892	0.761136975	3.603810038	1.065429906	9.99319176
0.894	0.761136975	3.603810038	1.065429906	9.99319176
0.896	0.761136975	3.603810038	1.065429906	9.99319176
0.898	0.761136975	3.603810038	1.065429906	9.99319176
0.9	0.761136975	3.603810038	1.065429906	9.99319176
0.902	0.761136975	3.603810038	1.065429906	9.99319176
0.904	0.761136975	3.603810038	1.065429906	9.99319176
0.906	0.761136975	3.603810038	1.065429906	9.99319176
0.908	0.761136975	3.603810038	1.065429906	9.99319176
0.91	0.761136975	3.603810038	1.065429906	9.99319176
0.912	0.761136975	3.603810038	1.065429906	9.99319176
0.914	0.761136975	3.603810038	1.065429906	9.99319176
0.916	0.761136975	3.603810038	1.065429906	9.99319176
0.918	0.761136975	3.603810038	1.065429906	9.99319176
0.92	0.761136975	3.603810038	1.065429906	9.99319176
0.922	0.761136975	3.603810038	1.065429906	9.99319176
0.924	0.761136975	3.603810038	1.065429906	9.99319176
0.926	0.761136975	3.603810038	1.065429906	9.99319176
0.928	0.761136975	3.603810038	1.065429906	9.99319176
0.93	0.761136975	3.603810038	1.065429906	9.99319176
0.932	0.761136975	3.603810038	1.065429906	9.99319176
0.934	0.761136975	3.603810038	1.065429906	9.99319176
0.936	0.761136975	3.603810038	1.065429906	9.99319176
0.938	0.761136975	3.603810038	1.065429906	9.99319176
0.94	0.761136975	3.603810038	1.065429906	9.99319176
0.942	0.761136975	3.603810038	1.065429906	9.99319176
0.944	0.761136975	3.603810038	1.065429906	9.99319176
0.946	0.761136975	3.603810038	1.065429906	9.99319176
0.948	0.761136975	3.603810038	1.065429906	9.99319176
0.95	0.761136975	3.603810038	1.065429906	9.99319176
0.952	0.761136975	3.603810038	1.065429906	9.99319176
0.954	0.761136975	3.603810038	1.065429906	9.99319176
