xe	re	ue	pe	Ee
0.578	0.579866687	1.360905519	0.466293567	2.936380057
0.58	0.579866687	1.360905519	0.466293567	2.936380057
0.582	0.579866687	1.360905519	0.466293567	2.936380057
0.584	0.579866687	1.360905519	0.466293567	2.936380057
0.586	0.579866687	1.360905519	0.466293567	2.936380057
0.588	0.579866687	1.360905519	0.466293567	2.936380057
0.59	0.579866687	1.360905519	0.466293567	2.936380057
0.592	0.579866687	1.360905519	0.466293567	2.936380057
0.594	0.579866687	1.360905519	0.466293567	2.936380057
0.596	0.579866687	1.360905519	0.466293567	2.936380057
0.598	0.579866687	1.360905519	0.466293567	2.936380057
0.6	0.579866687	1.360905519	0.466293567	2.936380057
0.602	0.579866687	1.360905519	0.466293567	2.936380057
0.604	0.579866687	1.360905519	0.466293567	2.936380057
0.606	0.579866687	1.360905519	0.466293567	2.936380057
0.608	0.579866687	1.360905519	0.466293567	2.936380057
0.61	0.579866687	1.360905519	0.466293567	2.936380057
0.612	0.579866687	1.360905519	0.466293567	2.936380057
0.614	0.579866687	1.360905519	0.466293567	2.936380057
0.616	0.579866687	1.360905519	0.466293567	2.936380057
0.618	0.579866687	1.360905519	0.466293567	2.936380057
0.62	0.579866687	1.360905519	0.466293567	2.936380057
0.622	0.579866687	1.360905519	0.466293567	2.936380057
0.624	0.579866687	1.360905519	0.466293567	2.936380057
0.626	0.579866687	1.360905519	0.466293567	2.936380057
0.628	0.579866687	1.360905519	0.466293567	2.936380057
0.63	0.579866687	1.360905519	0.466293567	2.936380057
0.632	0.579866687	1.360905519	0.466293567	2.936380057
0.634	0.579866687	1.360905519	0.466293567	2.936380057
0.636	0.579866687	1.360905519	0.466293567	2.936380057
0.638	0.579866687	1.360905519	0.466293567	2.936380057
0.64	0.579866687	1.360905519	0.466293567	2.936380057
0.642	0.579866687	1.360905519	0.466293567	2.936380057
0.644	0.579866687	1.360905519	0.466293567	2.936380057
0.646	0.579866687	1.360905519	0.466293567	2.936380057
