xe	re	ue	pe	Ee
0.548	0.426319428	0.92745262	0.303130178	2.207684251
0.55	0.426319428	0.92745262	0.303130178	2.207684251
0.552	0.426319428	0.92745262	0.303130178	2.207684251
0.554	0.426319428	0.92745262	0.303130178	2.207684251
0.556	0.426319428	0.92745262	0.303130178	2.207684251
0.558	0.426319428	0.92745262	0.303130178	2.207684251
0.56	0.426319428	0.92745262	0.303130178	2.207684251
0.562	0.426319428	0.92745262	0.303130178	2.207684251
0.564	0.426319428	0.92745262	0.303130178	2.207684251
0.566	0.426319428	0.92745262	0.303130178	2.207684251
0.568	0.426319428	0.92745262	0.303130178	2.207684251
0.57	0.426319428	0.92745262	0.303130178	2.207684251
0.572	0.426319428	0.92745262	0.303130178	2.207684251
0.574	0.426319428	0.92745262	0.303130178	2.207684251
0.576	0.426319428	0.92745262	0.303130178	2.207684251
0.578	0.426319428	0.92745262	0.303130178	2.207684251
0.58	0.426319428	0.92745262	0.303130178	2.207684251
0.582	0.426319428	0.92745262	0.303130178	2.207684251
0.584	0.426319428	0.92745262	0.303130178	2.207684251
0.586	0.426319428	0.92745262	0.303130178	2.207684251
0.588	0.426319428	0.92745262	0.303130178	2.207684251
0.59	0.426319428	0.92745262	0.303130178	2.207684251
0.592	0.426319428	0.92745262	0.303130178	2.207684251
0.594	0.426319428	0.92745262	0.303130178	2.207684251
0.596	0.426319428	0.92745262	0.303130178	2.207684251
0.598	0.426319428	0.92745262	0.303130178	2.207684251
0.6	0.426319428	0.92745262	0.303130178	2.207684251
0.602	0.426319428	0.92745262	0.303130178	2.207684251
0.604	0.426319428	0.92745262	0.303130178	2.207684251
0.606	0.426319428	0.92745262	0.303130178	2.207684251
0.608	0.426319428	0.92745262	0.303130178	2.207684251
0.61	0.426319428	0.92745262	0.303130178	2.207684251
